idap_line,alarm_name,alarm_def_id,what_fixed_it,classification,derived_tier,occurrence_count,total_downtime_mins,avg_downtime_mins,distinct_days_affected,first_occurrence,last_occurrence,maximo_cm_count,top_assetnum,top_asset_location,top_failure_code,top_failure_code_desc,sample_wo_descriptions,frequency_tier,last_wo_date,days_since_last_wo,last_wonum,last_wo_description,last_wo_worktype,last_wo_assetnum,last_wo_asset_location,last_wo_failurecode,work_performed,root_cause
A2,A2 Zone 2 Paused,7786,null,null,TIER 2 - Critical Active,45991,81271.8,1.8,332,2025-07-08 17:28:11,2026-07-08 15:30:58,1187,K323502,IC0150A2AMODULEA,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 GLUE FACEPLATE REPLACMENT | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A5,A5 Zone 1 Paused,7788,null,null,TIER 2 - Critical Active,40871,69972.6,1.7,333,2025-07-08 16:32:20,2026-07-08 12:53:16,1468,K407107,IC0150A5B2803DGANTRY,PACK,Packaging Equipment,A% final cure belt motor and gear box D743385A | A1 CARTON NO READ SENSOR NOT WORKING | A1 CASE FORMING ISSUE,CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A2,A2 Zone 1 Paused,7780,null,null,TIER 2 - Critical Active,42623,66888.7,1.6,332,2025-07-08 17:28:11,2026-07-08 15:29:50,1194,K334766,IC0150A2B270GLUEDISPCK,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 GLUE FACEPLATE REPLACMENT | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A1,A1 Zone 1 Paused,7803,null,null,TIER 2 - Critical Active,37038,61458.9,1.7,237,2025-07-19 02:52:36,2026-06-24 00:22:21,765,K291052,IC0150A1,PACK,Packaging Equipment,A1  CARTONER PRODUCT INTRODUCTION ALARMS D810436N | A1 - Adjustment to Puck Conveyor Speed | A1 - CAP FEEDER PEN ROTATOR ADJUSTMENT,CRITICAL - Daily or more,2026-06-23T05:54:30.000Z,15,28022990,A1 HIGH REJECTS ON LVC CAMERA,CM,K372060,IC0150A1LVCVIS,VISN,null,null
A5,Blocked LBL_OUTFD.HIGHLEVELF Outfeed Level High,2762,null,null,TIER 2 - Critical Active,24801,45060.9,1.8,332,2025-07-08 16:35:58,2026-07-08 12:52:29,1465,K407474,IC0150A5EQOB,PACK,Packaging Equipment,A% final cure belt motor and gear box D743385A | A1 CARTON NO READ SENSOR NOT WORKING | A1 CASE FORMING ISSUE,CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A2,Starved LBL_INFD.LOWLEVELF Infeed Product Level Low,2759,null,null,TIER 2 - Critical Active,61703,36640.9,0.6,329,2025-07-08 18:02:34,2026-07-08 15:32:52,1181,K323502,IC0150A2AMODULEA,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 GLUE FACEPLATE REPLACMENT | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A5,Blocked,4218,null,null,TIER 2 - Critical Active,20456,35291.1,1.7,331,2025-07-08 16:56:01,2026-07-08 12:33:38,1419,K407105,IC0150A5B270GLUEDISPCK,PACK,Packaging Equipment,A% final cure belt motor and gear box D743385A | A1 CARTON NO READ SENSOR NOT WORKING | A1 CASE FORMING ISSUE,CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A1,Starved - Pucks Minimum Load,3014,null,null,TIER 2 - Critical Active,19922,33338.8,1.7,235,2025-07-19 03:38:41,2026-07-08 15:37:26,755,K334823,IC0150A1B270GLUEDISPCK,ASSY,Assembly Equipment,A1  CARTONER PRODUCT INTRODUCTION ALARMS D810436N | A1 - Adjustment to Puck Conveyor Speed | A1 - CAP FEEDER PEN ROTATOR ADJUSTMENT,CRITICAL - Daily or more,2026-06-23T05:54:30.000Z,15,28022990,A1 HIGH REJECTS ON LVC CAMERA,CM,K372060,IC0150A1LVCVIS,VISN,null,null
A2,Starved - Pucks Minimum Load,3016,null,null,TIER 2 - Critical Active,32456,32281.6,1.0,330,2025-07-08 17:28:29,2026-07-08 15:31:11,1168,K323506,IC0150A2EMODULEE,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 GLUE FACEPLATE REPLACMENT | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A1,Blocked LBL_OUTFD.HIGHLEVELF Outfeed Level High,2758,null,null,TIER 2 - Critical Active,13803,29524.2,2.1,233,2025-07-19 02:46:30,2026-06-24 00:11:34,761,K291188,IC0150A1EFEEDER1,PACK,Packaging Equipment,A1  CARTONER PRODUCT INTRODUCTION ALARMS D810436N | A1 - Adjustment to Puck Conveyor Speed | A1 - CAP FEEDER PEN ROTATOR ADJUSTMENT,CRITICAL - Daily or more,2026-06-23T05:54:30.000Z,15,28022990,A1 HIGH REJECTS ON LVC CAMERA,CM,K372060,IC0150A1LVCVIS,VISN,null,null
A1,Starved LBL_INFD.LOWLEVELF Infeed Product Level Low,2757,null,null,TIER 2 - Critical Active,19894,28802.6,1.4,237,2025-07-19 03:55:34,2026-07-08 14:51:15,762,K291069,IC0150A1CMODULEC,PACK,Packaging Equipment,A1  CARTONER PRODUCT INTRODUCTION ALARMS D810436N | A1 - Adjustment to Puck Conveyor Speed | A1 - CAP FEEDER PEN ROTATOR ADJUSTMENT,CRITICAL - Daily or more,2026-06-23T05:54:30.000Z,15,28022990,A1 HIGH REJECTS ON LVC CAMERA,CM,K372060,IC0150A1LVCVIS,VISN,null,null
